"umlsid"	"parent_1"	"parent_2"	"parent_3"
"C0027343"	"http://bio2rdf.org/meddra:10028685"	"http://bio2rdf.org/meddra:10040798"	"http://bio2rdf.org/meddra:10040785"
"C0019572"	"http://bio2rdf.org/meddra:10020863"	"http://bio2rdf.org/meddra:10040798"	"http://bio2rdf.org/meddra:10040785"
"C0206739"	"http://bio2rdf.org/meddra:10040898"	"http://bio2rdf.org/meddra:10040899"	"http://bio2rdf.org/meddra:10029104"
"C0206739"	"http://bio2rdf.org/meddra:10040898"	"http://bio2rdf.org/meddra:10040899"	"http://bio2rdf.org/meddra:10040785"
"C0022572"	"http://bio2rdf.org/meddra:10040901"	"http://bio2rdf.org/meddra:10040900"	"http://bio2rdf.org/meddra:10029104"
"C0022572"	"http://bio2rdf.org/meddra:10040901"	"http://bio2rdf.org/meddra:10040900"	"http://bio2rdf.org/meddra:10040785"
"C0393760"	"http://bio2rdf.org/meddra:10013510"	"http://bio2rdf.org/meddra:10040991"	"http://bio2rdf.org/meddra:10037175"
"C0917801"	"http://bio2rdf.org/meddra:10013510"	"http://bio2rdf.org/meddra:10040991"	"http://bio2rdf.org/meddra:10037175"
"C0917799"	"http://bio2rdf.org/meddra:10013980"	"http://bio2rdf.org/meddra:10040991"	"http://bio2rdf.org/meddra:10037175"
"C0233773"	"http://bio2rdf.org/meddra:10028716"	"http://bio2rdf.org/meddra:10040991"	"http://bio2rdf.org/meddra:10037175"
"C0424082"	"http://bio2rdf.org/meddra:10028716"	"http://bio2rdf.org/meddra:10040991"	"http://bio2rdf.org/meddra:10037175"
"C0393760"	"http://bio2rdf.org/meddra:10013510"	"http://bio2rdf.org/meddra:10040998"	"http://bio2rdf.org/meddra:10029205"
"C0917801"	"http://bio2rdf.org/meddra:10013510"	"http://bio2rdf.org/meddra:10040998"	"http://bio2rdf.org/meddra:10029205"
"C0917799"	"http://bio2rdf.org/meddra:10028714"	"http://bio2rdf.org/meddra:10040998"	"http://bio2rdf.org/meddra:10029205"
"C0851829"	"http://bio2rdf.org/meddra:10014136"	"http://bio2rdf.org/meddra:10041244"	"http://www.w3.org/2002/07/owl#Thing"
"C0036220"	"http://bio2rdf.org/meddra:10023285"	"http://bio2rdf.org/meddra:10041299"	"http://bio2rdf.org/meddra:10029104"
"C0276535"	"http://bio2rdf.org/meddra:10023285"	"http://bio2rdf.org/meddra:10041299"	"http://bio2rdf.org/meddra:10029104"
"C0279084"	"http://bio2rdf.org/meddra:10023285"	"http://bio2rdf.org/meddra:10041299"	"http://bio2rdf.org/meddra:10029104"
"C0020604"	"http://bio2rdf.org/meddra:10041326"	"http://bio2rdf.org/meddra:10041320"	"http://bio2rdf.org/meddra:10037175"
"C0022104"	"http://bio2rdf.org/meddra:10041326"	"http://bio2rdf.org/meddra:10041320"	"http://bio2rdf.org/meddra:10037175"
"C0152444"	"http://bio2rdf.org/meddra:10041544"	"http://bio2rdf.org/meddra:10041543"	"http://bio2rdf.org/meddra:10029205"
"C0878773"	"http://bio2rdf.org/meddra:10041544"	"http://bio2rdf.org/meddra:10041543"	"http://bio2rdf.org/meddra:10029205"
"C0854711"	"http://bio2rdf.org/meddra:10041545"	"http://bio2rdf.org/meddra:10041543"	"http://bio2rdf.org/meddra:10029205"
"C0521770"	"http://bio2rdf.org/meddra:10008776"	"http://bio2rdf.org/meddra:10042261"	"http://bio2rdf.org/meddra:10015919"
"C0019937"	"http://bio2rdf.org/meddra:10042260"	"http://bio2rdf.org/meddra:10042261"	"http://bio2rdf.org/meddra:10015919"
"C0851675"	"http://bio2rdf.org/meddra:10005944"	"http://bio2rdf.org/meddra:10042613"	"http://www.w3.org/2002/07/owl#Thing"
"C0949098"	"http://bio2rdf.org/meddra:10014705"	"http://bio2rdf.org/meddra:10042613"	"http://www.w3.org/2002/07/owl#Thing"
"C0947821"	"http://bio2rdf.org/meddra:10015957"	"http://bio2rdf.org/meddra:10042613"	"http://www.w3.org/2002/07/owl#Thing"
"C0019328"	"http://bio2rdf.org/meddra:10017998"	"http://bio2rdf.org/meddra:10042613"	"http://www.w3.org/2002/07/owl#Thing"
"C0947903"	"http://bio2rdf.org/meddra:10019190"	"http://bio2rdf.org/meddra:10042613"	"http://www.w3.org/2002/07/owl#Thing"
"C0947831"	"http://bio2rdf.org/meddra:10038365"	"http://bio2rdf.org/meddra:10042613"	"http://www.w3.org/2002/07/owl#Thing"
"C0020971"	"http://bio2rdf.org/meddra:10043413"	"http://bio2rdf.org/meddra:10042613"	"http://www.w3.org/2002/07/owl#Thing"
"C0853212"	"http://bio2rdf.org/meddra:10002092"	"http://bio2rdf.org/meddra:10043413"	"http://bio2rdf.org/meddra:10042613"
"C0281177"	"http://bio2rdf.org/meddra:10011824"	"http://bio2rdf.org/meddra:10043413"	"http://bio2rdf.org/meddra:10042613"
"C0020971"	"http://bio2rdf.org/meddra:10021431"	"http://bio2rdf.org/meddra:10043413"	"http://bio2rdf.org/meddra:10042613"
"C0684199"	"http://bio2rdf.org/meddra:10027700"	"http://bio2rdf.org/meddra:10043413"	"http://bio2rdf.org/meddra:10042613"
"C0020311"	"http://bio2rdf.org/meddra:10027700"	"http://bio2rdf.org/meddra:10043413"	"http://bio2rdf.org/meddra:10042613"
"C0279531"	"http://bio2rdf.org/meddra:10027700"	"http://bio2rdf.org/meddra:10043413"	"http://bio2rdf.org/meddra:10042613"
"C0020548"	"http://bio2rdf.org/meddra:10027700"	"http://bio2rdf.org/meddra:10043413"	"http://bio2rdf.org/meddra:10042613"
"C0085559"	"http://bio2rdf.org/meddra:10027700"	"http://bio2rdf.org/meddra:10043413"	"http://bio2rdf.org/meddra:10042613"
"C0020550"	"http://bio2rdf.org/meddra:10043740"	"http://bio2rdf.org/meddra:10043739"	"http://bio2rdf.org/meddra:10014698"
"C0020676"	"http://bio2rdf.org/meddra:10043741"	"http://bio2rdf.org/meddra:10043739"	"http://bio2rdf.org/meddra:10014698"
"C0392494"	"http://bio2rdf.org/meddra:10043954"	"http://bio2rdf.org/meddra:10043946"	"http://bio2rdf.org/meddra:10017947"
"C0020441"	"http://bio2rdf.org/meddra:10044037"	"http://bio2rdf.org/meddra:10044018"	"http://bio2rdf.org/meddra:10017947"
"C1691215"	"http://bio2rdf.org/meddra:10010661"	"http://bio2rdf.org/meddra:10046447"	"http://bio2rdf.org/meddra:10038359"
"C0854169"	"http://bio2rdf.org/meddra:10013374"	"http://bio2rdf.org/meddra:10046828"	"http://bio2rdf.org/meddra:10038604"
"C0043117"	"http://bio2rdf.org/meddra:10037555"	"http://bio2rdf.org/meddra:10047043"	"http://bio2rdf.org/meddra:10040785"
"C0423798"	"http://bio2rdf.org/meddra:10037555"	"http://bio2rdf.org/meddra:10047043"	"http://bio2rdf.org/meddra:10040785"
"C0039445"	"http://bio2rdf.org/meddra:10043190"	"http://bio2rdf.org/meddra:10047043"	"http://bio2rdf.org/meddra:10040785"
"C0020581"	"http://bio2rdf.org/meddra:10002680"	"http://bio2rdf.org/meddra:10047061"	"http://bio2rdf.org/meddra:10015919"
"C0851627"	"http://bio2rdf.org/meddra:10057166"	"http://bio2rdf.org/meddra:10047065"	"http://www.w3.org/2002/07/owl#Thing"
"C0020452"	"http://bio2rdf.org/meddra:10047067"	"http://bio2rdf.org/meddra:10047066"	"http://bio2rdf.org/meddra:10047065"
"C0039445"	"http://bio2rdf.org/meddra:10047091"	"http://bio2rdf.org/meddra:10047066"	"http://bio2rdf.org/meddra:10047065"
