"drugid"	"se"
"DB00575"	"http://bio2rdf.org/umls:C0030196"
"DB00531"	"http://bio2rdf.org/umls:C0231218"
"DB00746"	"http://bio2rdf.org/umls:C0002792"
"DB00924"	"http://bio2rdf.org/umls:C0013395"
"DB08826"	"http://bio2rdf.org/umls:C0036572"
"DB00363"	"http://bio2rdf.org/umls:C0085631"
"DB08826"	"http://bio2rdf.org/umls:C0311468"
"DB00531"	"http://bio2rdf.org/umls:C0024299"
"DB00575"	"http://bio2rdf.org/umls:C0004093"
"DB00804"	"http://bio2rdf.org/umls:C0025061"
"DB06243"	"http://bio2rdf.org/umls:C0002170"
"DB00575"	"http://bio2rdf.org/umls:C0003467"
"DB01068"	"http://bio2rdf.org/umls:C0009676"
"DB00804"	"http://bio2rdf.org/umls:C0338591"
"DB00531"	"http://bio2rdf.org/umls:C3160858"
"DB00746"	"http://bio2rdf.org/umls:C0476273"
"DB00363"	"http://bio2rdf.org/umls:C0149871"
"DB00746"	"http://bio2rdf.org/umls:C0521172"
"DB00575"	"http://bio2rdf.org/umls:C0014591"
"DB00746"	"http://bio2rdf.org/umls:C0231528"
"DB01068"	"http://bio2rdf.org/umls:C0010200"
"DB01068"	"http://bio2rdf.org/umls:C0011570"
"DB00363"	"http://bio2rdf.org/umls:C0917801"
"DB00531"	"http://bio2rdf.org/umls:C0030554"
"DB00363"	"http://bio2rdf.org/umls:C0018801"
"DB00531"	"http://bio2rdf.org/umls:C0013378"
"DB00531"	"http://bio2rdf.org/umls:C0000768"
"DB00804"	"http://bio2rdf.org/umls:C2830004"
"DB00575"	"http://bio2rdf.org/umls:C0009806"
"DB00804"	"http://bio2rdf.org/umls:C0085633"
"DB08826"	"http://bio2rdf.org/umls:C0002792"
"DB00531"	"http://bio2rdf.org/umls:C0040264"
"DB01394"	"http://bio2rdf.org/umls:C0042963"
"DB01068"	"http://bio2rdf.org/umls:C0232462"
"DB08826"	"http://bio2rdf.org/umls:C0162429"
"DB00363"	"http://bio2rdf.org/umls:C0018790"
"DB00250"	"http://bio2rdf.org/umls:C0521491"
"DB06243"	"http://bio2rdf.org/umls:C0027497"
"DB08826"	"http://bio2rdf.org/umls:C0011603"
"DB00363"	"http://bio2rdf.org/umls:C0235969"
"DB08826"	"http://bio2rdf.org/umls:C0027121"
"DB00363"	"http://bio2rdf.org/umls:C0039231"
"DB00861"	"http://bio2rdf.org/umls:"
"DB00363"	"http://bio2rdf.org/umls:C0085606"
"DB00531"	"http://bio2rdf.org/umls:C0151747"
"DB00363"	"http://bio2rdf.org/umls:C0009806"
"DB00531"	"http://bio2rdf.org/umls:C0311468"
"DB00531"	"http://bio2rdf.org/umls:C0948089"
"DB06243"	"http://bio2rdf.org/umls:C0152030"
"DB00531"	"http://bio2rdf.org/umls:C0032961"
"DB00829"	"http://bio2rdf.org/umls:C2830004"
"DB00746"	"http://bio2rdf.org/umls:C0013404"
"DB00363"	"http://bio2rdf.org/umls:C0012833"
"DB00575"	"http://bio2rdf.org/umls:C0271429"
"DB00531"	"http://bio2rdf.org/umls:C0036983"
"DB01394"	"http://bio2rdf.org/umls:C0040034"
"DB01394"	"http://bio2rdf.org/umls:C0011991"
"DB06243"	"http://bio2rdf.org/umls:C0241057"
"DB00746"	"http://bio2rdf.org/umls:C0042963"
"DB00363"	"http://bio2rdf.org/umls:C0030554"
